"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,66829,"21219","MD","Baltimore-Columbia-Towson","Baltimore County","Edgemere",9001,262300,0.0111796453353894,0.0294348508634223,0.0812036273701566,0.0590354915249522,0.00493500618658982,"2007-03","2007-Q1",290100,-0.0958290244743192,"2006-04"
2019-02-28,71198,"30553","GA",,"Franklin County","Lavonia",9002,153100,0.0013080444735121,0.0220293724966622,0.0943531093638313,0.0666175590226055,0.0198339254358697,"2019-02","2019-Q1",153100,0,"2019-02"
2019-02-28,94636,"84655","UT","Provo-Orem","Utah County","Santaquin",9003,333800,0.00724200362100181,0.0242405645903651,0.165502793296089,0.0986922336171796,0.0348414090536708,"2019-02","2019-Q1",333800,0,"2019-02"
2019-02-28,60572,"07063","NJ","New York-Newark-Jersey City","Union County","Plainfield",9004,240400,0.00965980680386392,0.0173508252221752,0.122839794488557,0.110882376717831,-0.00358870358088625,"2006-09","2006-Q3",311000,-0.227009646302251,"2004-09"
2019-02-28,62993,"13152","NY","Syracuse","Onondaga County","Skaneateles",9005,370000,0.000270343336036767,0.031502648452746,0.153726223885251,0.0699228600094,0.0170984066993605,"2019-02","2019-Q1",370000,0,"2019-02"
2019-02-28,81376,"53551","WI","Watertown-Fort Atkinson","Jefferson County","Lake Mills",9006,235300,0.00641573994867408,0.0199393151278717,0.113582584003786,0.056454707257348,0.0263004746980453,"2019-02","2019-Q1",235300,0,"2019-02"
2019-02-28,68556,"25312","WV","Charleston","Kanawha County","Charleston",9007,106100,0.00855513307984791,0.0251207729468599,-0.0111835973904939,0.0316346179588076,0.0113249103550215,"2016-04","2016-Q2",115700,-0.0829732065687122,"2015-10"
2019-02-28,78097,"46327","IN","Chicago-Naperville-Elgin","Lake County","Hammond",9008,78900,0.00254129606099111,0.00766283524904214,0.0897790055248619,,,"2019-02","2019-Q1",78900,0,"2019-02"
2019-02-28,90556,"74851","OK","Shawnee","Pottawatomie County","McLoud",9009,120400,0.00166389351081531,0.0238095238095238,0.159922928709056,0.0893096877446209,0.0406903143262372,"2019-02","2019-Q1",120400,0,"2019-02"
2019-02-28,58522,"01862","MA","Boston-Cambridge-Newton","Middlesex County","Billerica",9010,435600,0.00438090846207056,0.0168067226890756,0.028814359943316,0.0545526827437433,0.0315790149144426,"2019-02","2019-Q1",435600,0,"2019-02"
